用户号,产品名称,推荐指数
10770,笑声传奇：百变蔡明化身猫女王,4.41939940564
10770,繁星四月,4.38452365102
10770,我是未来：SNH48示爱张绍刚？,4.36892981912
10770,惩罚者2：战争特区,4.34336259215
10770,疯狗马子,4.33239307302
10770,五彩缤纷的旅途：柬埔寨失落的神庙,4.31648415364
10770,隐私保险箱,4.31559804154
10770,辛巴达历险记2,4.30617470178
10770,音悦V榜内地：TFBOYS两首霸榜不让王位,4.30476840103
10770,名利场,4.30022904286
10316,挑战者联盟 第三季：郑元畅陈学冬联手夺宝,0.684628222643
10316,开讲啦：李强,0.684628222643
10316,非你莫属：涂磊力挺富二代 怒怼女老板,0.684628222643
10316,美国司法,0.647708630472
10316,实习天使,0.627600904949
10316,发现：深水边城,0.62634127529
10316,开心剧乐部：张凯丽“喜当娘”狂收4位儿女,0.625303210026
10316,魔法灰姑娘,0.623854053344
10316,开心剧乐部：陈赫贾玲再组CP 范明变人气小鲜肉,0.61453720563
10316,狮子王,0.612154648848
10289,复合大师,1.64441708258
10289,潜伏,1.6179134665
10289,惊天绑架团,1.59835343981
10289,高能少年团：王俊凯秀格斗术,1.59671276864
10289,我心雀跃,1.59455985175
10289,今晚80后脱口秀：别惯着自己,1.59455985175
10289,非诚勿扰：大连“彭于晏”来袭,1.59455985175
10289,我想和你唱 第二季：萧敬腾被爆撩妹有绝招,1.59455985175
10289,黑白照相馆,1.59455985175
10289,哈利波特消失的密室,1.59274817438
10204,汽车人总动员,7.87956869218
10204,在下坂本，有何贵干？,7.81516793987
10204,时代：家在内蒙古,7.8057733732
10204,航海王：黄金岛的冒险,7.79393656836
10204,台湾味道 第一季,7.75493260918
10204,小屁孩日记3,7.75472863911
10204,发现：国家宝藏？塔尖上的国宝,7.75142832017
10204,极限挑战 第三季：沙溢被虐惨叫连连,7.74587695576
10204,斗牛,7.74587695576
10204,异种,7.74587695576
11291,豪华爱漫游：法属波利尼西亚,1.51846741259
11291,慕尼黑,1.51722013035
11291,越狱 第一季,1.48695133598
11291,中国金融科技创客大赛宣传片,1.46478471021
11291,钟馗伏魔：雪妖魔灵,1.46095732638
11291,儿行千里：何炅带你揭秘最牛家风,1.45946305705
11291,艺术家,1.45808722879
11291,极速前进 第四季：潜水女神贾静雯,1.45511809707
11291,怪兽大学,1.45508646726
11291,危情24小时,1.45369049958
11037,小济公,0.522599438745
11037,潘磕惺康第一季,0.509363502187
11037,冲锋战警,0.509363502187
11037,一路惊喜,0.505604832612
11037,如意酷宝之小神羊,0.505604832612
11037,飞屋环游记,0.505604832612
11037,副作用,0.505604832612
11037,警察故事2013,0.505524189721
10246,豪华爱漫游：法属波利尼西亚,1.60430280067
10246,钟馗伏魔：雪妖魔灵,1.58542286986
10246,发现：新疆味道,1.56555678456
10246,四眼天鸡,1.55110609039
10246,美国达人秀 第十一季,1.55110609039
10246,赛小花的远大前程,1.55110609039
10246,流氓皇帝,1.55110609039
10246,马语者,1.55110609039
10246,托马斯和他的朋友们 第十四季,1.55110609039
10246,时代：行走的餐桌？湖州,1.55110609039
10929,我的老爸是奇葩,0.671887447801
10929,暴走神探,0.668674688821
10929,挑战者联盟 第三季：范冰冰与韩庚贴身热舞,0.664086347766
10929,星际穿越,0.663061109648
10929,音乐大师课,0.661013207945
10929,血染大青山,0.653819210453
10929,整容日记,0.650384368637
10929,挑战者联盟 第三季：魏晨遭队友无视险暴走,0.650218417135
10929,末日浩劫,0.648601683076
10929,来吧冠军 第二季：奥尼尔求婚宋茜 郑恺遭刘炜秒杀,0.647781975208
10249,奔跑吧：陈赫玩烧脑怒怼邓超 刘涛被众疑超揪心,2.23099446563
10249,玩具总动员1,2.22763830415
10249,年代秀：邓紫棋上演懵金鱼 杨迪秀智商,2.17933748452
10249,星际小蚂蚁3D儿歌系列,2.16566374247
10249,金星秀：张一山挑战演技演少女,2.16472377789
10249,冰河世纪2,2.16472377789
10249,自然：极速猎杀Ⅱ-丛林,2.16472377789
10249,万象：中国艺术,2.15845762008
10249,骇客时空,2.13562667598
10249,深海利剑,2.1328001906
10696,汽车人总动员,5.14090616233
10696,谍影重重1,5.04927872666
10696,台湾味道 第一季,5.00978924505
10696,小屁孩日记3,5.00173422621
10696,我们来了 第二季：关之琳蒋欣领衔女神团长城走秀,4.97889410306
10696,矮子当道,4.97889410306
10696,特别呈现：聆听中国,4.97889410306
10696,魔幻传奇II,4.97889410306
10696,人文地理：景颇？夏天,4.97889410306
10696,快乐大本营：李宇春“回娘家”送祝福,4.97889410306
10257,我的前半生,1.53021087634
10257,好先生,1.53021087634
10257,蛇胆雄威,1.53021087634
10257,铁拳：X男,1.48198770848
10257,西风烈,1.47277832974
