"用户号","机顶盒设备号","节目名称","节目ID","观看次数","分类","二级目录","分类名称","二级目录ID","分类名称ID","观看时长","点播日期","最早观看时间","最近观看时间","观看时间跨度","语种","地区","时间跨度","使用时长","总观看时长"
"10003","10198","上古情歌","93","2","精彩点/大陆剧场","精彩点","大陆剧场","2","11","120",,"2017-08-13 16:14","2017-08-26 14:07","1115580.000000","国语","大陆","4812600.000000","7831860.000000","33480"
"10003","10198","大军师司马懿之军师联盟","523","1","精彩点/大陆剧场","精彩点","大陆剧场","2","11","1260",,"2017-07-11 13:11","2017-07-11 13:11","0.000000","国语","大陆","834840.000000","7831860.000000","33480"
"10003","10198","大秦帝国之崛起","531","31","热点专题/大陆剧场","热点专题","大陆剧场","1","11","2640",,"2017-07-30 13:31","2017-08-11 13:40","1037340.000000","国语","大陆","3514980.000000","7831860.000000","33480"
"10003","10198","小兔班弟","664","2","精彩点","精彩点",,"2","0","120",,"2017-08-28 16:42","2017-08-28 16:44","120.000000",,,"4994820.000000","7831860.000000","33480"
"10003","10198","小公主苏菲亚2","666","1","精彩点/电视剧场","精彩点","电视剧场","2","12","900",,"2017-09-19 16:58","2017-09-19 16:58","0.000000","国语","大陆","6896460.000000","7831860.000000","33480"
"10003","10198","小熊维尼与跳跳虎第一季","679","1","少儿乐园","少儿乐园",,"3","0","1380",,"2017-07-02 21:11","2017-07-02 21:11","0.000000",,,"86040.000000","7831860.000000","33480"
"10003","10198","小猪佩奇","680","14","精彩点/大陆剧场","精彩点","大陆剧场","2","11","600",,"2017-07-29 16:41","2017-09-26 12:06","5081100.000000","国语","大陆","7483740.000000","7831860.000000","33480"
"10003","10198","异形大战阿凡达","747","2","精彩点","精彩点",,"2","0","720",,"2017-08-26 23:57","2017-08-26 23:57","0.000000",,,"4848000.000000","7831860.000000","33480"
"10003","10198","我们的爱","836","5","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2580",,"2017-08-13 16:16","2017-09-06 14:46","2068200.000000","国语","大陆","5765340.000000","7831860.000000","33480"
"10003","10198","我的仨妈俩爸","876","12","精彩点/大陆剧场","精彩点","大陆剧场","2","11","3540",,"2017-09-22 15:33","2017-09-24 15:50","173820.000000","国语","大陆","7324380.000000","7831860.000000","33480"
"10003","10198","我的前半生","877","16","精彩点/大陆剧场","精彩点","大陆剧场","2","11","1440",,"2017-07-15 14:22","2017-07-26 13:50","948480.000000","国语","大陆","2133180.000000","7831860.000000","33480"
"10003","10198","托马斯和他的朋友们 第十四季","894","1","少儿乐园/欧美剧场","少儿乐园","欧美剧场","3","13","600",,"2017-07-02 20:59","2017-07-02 20:59","0.000000","国语","英国","85320.000000","7831860.000000","33480"
"10003","10198","新西厢记","955","2","精彩点/大陆剧场","精彩点","大陆剧场","2","11","3300",,"2017-08-11 14:24","2017-08-11 15:20","3360.000000","国语","大陆","3520980.000000","7831860.000000","33480"
"10003","10198","熊出没之春日对对碰","1277","2","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2640",,"2017-07-03 20:19","2017-07-03 20:19","0.000000","国语","大陆","169320.000000","7831860.000000","33480"
"10003","10198","猫和老鼠","1379","1","免费睇","免费睇",,"4","0","540",,"2017-07-03 20:07","2017-07-03 20:07","0.000000",,,"168600.000000","7831860.000000","33480"
"10003","10198","甜果屋宣传汇总170613","1407","1","免费睇/广告","免费睇","广告","4","14","120",,"2017-07-02 21:09","2017-07-02 21:09","0.000000","国语","大陆","85920.000000","7831860.000000","33480"
"10003","10198","神偷奶爸","1487","2","精彩点","精彩点",,"2","0","2760",,"2017-09-10 19:45","2017-09-10 19:45","0.000000",,,"6128880.000000","7831860.000000","33480"
"10003","10198","神偷奶爸2","1488","2","热点专题","热点专题",,"1","0","5700",,"2017-08-28 19:57","2017-08-28 19:57","0.000000",,,"5006400.000000","7831860.000000","33480"
"10003","10198","秦时丽人明月心","1515","54","精彩点/大陆剧场","精彩点","大陆剧场","2","11","60",,"2017-08-26 14:11","2017-09-30 12:48","3019020.000000","国语","大陆","7831860.000000","7831860.000000","33480"
"10003","10198","西游记","1722","2","精彩点/大陆剧场","精彩点","大陆剧场","2","11","120",,"2017-09-19 16:56","2017-09-19 16:56","0.000000","国语","大陆","6896340.000000","7831860.000000","33480"
"10003","10198","超级飞侠","1791","2","精彩点/大陆剧场","精彩点","大陆剧场","2","11","2040",,"2017-07-01 21:17","2017-07-01 21:17","0.000000","国语","大陆","0.000000","7831860.000000","33480"
